File name,text
Iqbal_Ghazals_10_page_121_line_14.png,مانا کہ تیری دید کے قابل نہیں ہوں میں    تو میرا شوق دیکھ مرا انتظار دیکھ
Iqbal_Ghazals_10_page_121_line_22.png,نہ آتے ہمیں اس میں تکرار کیا تھی    مگر وعدہ کرتے ہوئے عار کیا تھی
Iqbal_Ghazals_10_page_121_line_25.png,تمہارے پیامی نے سب راز کھولا    خطا اس میں بندے کی سرکار کیا تھی
Iqbal_Ghazals_0_page_386_line_10.png,عذاب دانش حاضر سے با خبر ہوں میں    کہ میں اس آگ میں ڈالا گیا ہوں مثل خلیل
Iqbal_Ghazals_0_page_386_line_24.png,ستاروں سے آگے جہاں اور بھی ہیں    ابھی عشق کے امتحاں اور بھی ہیں
Iqbal_Ghazals_0_page_386_line_25.png,تہی زندگی سے نہیں یہ فضائیں    یہاں سیکڑوں کارواں اور بھی ہیں
Iqbal_Ghazals_0_page_387_line_3.png,قناعت نہ کر عالم رنگ و بو پر    چمن اور بھی آشیاں اور بھی ہیں
Iqbal_Ghazals_0_page_387_line_5.png,اگر کھو گیا اک نشیمن تو کیا غم    مقامات آہ و فغاں اور بھی ہیں
Iqbal_Ghazals_0_page_387_line_8.png,تو شاہیں ہے پرواز ہے کام تیرا    ترے سامنے آسماں اور بھی ہیں
Iqbal_Ghazals_0_page_387_line_9.png,اسی روز و شب میں الجھ کر نہ رہ جا    کہ تیرے زمان و مکاں اور بھی ہیں
Iqbal_Ghazals_1_page_128_line_4.png,ترے عشق کی انتہا چاہتا ہوں    مری سادگی دیکھ کیا چاہتا ہوں
Iqbal_Ghazals_1_page_128_line_9.png,یہ جنت مبارک رہے زاہدوں کو    کہ میں آپ کا سامنا چاہتا ہوں
Iqbal_Ghazals_1_page_128_line_11.png,ذرا سا تو دل ہوں مگر شوخ اتنا    وہی لن ترانی سنا چاہتا ہوں
Iqbal_Ghazals_1_page_128_line_13.png,کوئی دم کا مہماں ہوں اے اہل محفل    چراغ سحر ہوں بجھا چاہتا ہوں
Iqbal_Ghazals_1_page_128_line_22.png,بٹھا کے عرش پہ رکھا ہے تو نے اے واعظ    خدا وہ کیا ہے جو بندوں سے احتراز کرے
Iqbal_Ghazals_1_page_128_line_24.png,مری نگاہ میں وہ رند ہی نہیں ساقی    جو ہوشیاری و مستی میں امتیاز کرے
Iqbal_Ghazals_1_page_128_line_27.png,مدام گوش بہ دل رہ یہ ساز ہے ایسا    جو ہو شکستہ تو پیدا نوائے راز کرے
Iqbal_Ghazals_1_page_128_line_29.png,کوئی یہ پوچھے کہ واعظ کا کیا بگڑتا ہے    جو بے عمل پہ بھی رحمت وہ بے نیاز کرے
